Gene_id	Empty_ASV_2h_1	Empty_ASV_2h_2	Empty_ASV_2h_3	Empty_ASV_4h_1	Empty_ASV_4h_2	Empty_ASV_4h_3	Empty_DMSO_2h_1	Empty_DMSO_2h_2	Empty_DMSO_2h_3	Empty_DMSO_4h_1	Empty_DMSO_4h_2	Empty_DMSO_4h_3	Ascl1_ASV_2h_1	Ascl1_ASV_2h_2	Ascl1_ASV_2h_3	Ascl1_ASV_4h_1	Ascl1_ASV_4h_2	Ascl1_ASV_4h_3	Ascl1_DMSO_2h_1	Ascl1_DMSO_2h_2	Ascl1_DMSO_2h_3	Ascl1_DMSO_4h_1	Ascl1_DMSO_4h_2	Ascl1_DMSO_4h_3
Serpine3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serpinf1	0	0	1	18	15	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	1	1	1
Serpinf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Serping1	10	1	2	22	21	0	0	0	0	3	1	0	1	1	0	5	0	0	6	9	1	0	0	0
Serpinh1	6	0	7	19	26	0	0	1	0	0	2	0	2	5	0	10	8	3	6	20	6	2	5	2
Serpini1	12	0	7	39	34	0	0	5	0	0	4	0	4	2	0	17	6	3	14	29	4	0	3	5
Serpini2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sertad1	174	0	104	419	357	0	0	15	1	0	57	0	68	60	0	233	36	53	78	257	70	45	37	92
Sertad2	122	0	100	407	264	0	0	42	0	6	57	0	39	30	0	164	20	41	145	148	58	35	48	48
Sertad3	234	1	108	621	408	0	0	16	0	2	86	0	65	48	0	374	38	89	245	422	75	23	46	70
Sertad4	12	0	0	25	16	0	0	1	0	0	3	0	2	3	0	19	2	2	11	14	1	2	1	2
Sertm1	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Sesn1	28	0	16	31	54	0	0	10	0	0	10	0	11	10	0	44	10	18	43	46	27	10	15	10
Sesn2	322	14	317	1423	1000	1	0	347	5	27	381	0	163	237	0	650	105	170	1019	804	344	158	135	148
Sesn3	14	0	5	13	24	0	0	1	0	0	1	0	1	3	0	17	1	7	7	16	2	3	1	5
Sestd1	2	0	2	7	13	0	0	0	0	0	0	0	0	2	0	4	0	3	11	7	2	0	0	2
Set	274	0	179	489	442	0	0	63	0	15	130	0	65	75	1	277	44	60	176	344	62	55	74	88
Setbp1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	0	1	0	2	2
Setd1a	86	3	118	334	314	0	0	51	1	6	117	0	19	69	0	282	25	54	117	315	58	11	45	71
Setd1b	322	0	192	764	633	0	0	58	1	12	214	0	121	79	0	415	40	94	217	502	108	90	110	174
Setd2	138	0	85	204	242	0	0	14	1	7	25	0	31	23	0	198	23	36	106	188	34	25	56	72
Setd3	12	0	5	39	30	0	0	5	0	0	10	0	6	1	0	31	2	4	7	17	3	1	3	4
Setd4	6	0	5	23	16	0	0	8	0	0	8	0	6	4	0	25	1	3	15	20	1	0	2	4
Setd5	182	2	110	711	474	0	0	68	1	11	116	0	95	55	0	373	53	82	332	265	80	40	79	71
Setd6	86	0	33	97	86	0	0	22	0	7	30	0	8	24	0	68	2	12	32	88	16	3	7	22
Setd7	2	0	1	14	15	0	0	0	0	0	1	0	2	4	0	4	1	0	10	11	1	1	1	1
Setdb1	22	1	12	53	45	0	0	1	0	2	1	0	7	3	0	18	8	12	6	39	7	6	17	14
Setdb2	6	0	0	4	8	0	0	0	0	0	0	0	2	0	0	3	2	5	4	1	1	0	2	2
Setmar	36	0	19	136	77	0	0	21	1	0	30	0	18	14	0	70	3	5	39	53	4	3	8	7
Setx	56	0	23	104	99	0	0	8	0	4	16	0	16	9	0	46	5	10	45	48	13	10	18	13
Sez6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0
Sez6l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
